Node_ID,In_Degree,Out_Degree,Total_Degree
4013,96,26,122
4254,25,97,122
6189,17,105,122
1685,38,84,122
5271,70,52,122
972,88,34,122
1787,33,89,122
715,73,49,122
2835,38,83,121
2312,109,12,121
8442,41,80,121
6800,26,95,121
561,37,84,121
10199,80,41,121
14444,95,26,121
7060,10,111,121
3063,34,87,121
5148,50,71,121
586,62,58,120
1667,10,110,120
5837,36,84,120
2746,98,22,120
971,48,72,120
3703,25,95,120
1164,23,97,120
73949,119,1,120
13097,29,91,120
5365,33,87,120
5482,10,110,120
7738,18,102,120
2402,94,26,120
6301,25,95,120
3438,115,4,119
12622,75,44,119
14499,30,89,119
9991,35,84,119
25351,31,88,119
900,31,88,119
2143,19,100,119
1518,27,92,119
1392,7,111,118
9376,93,25,118
7857,96,22,118
3456,79,39,118
7214,36,82,118
1294,84,34,118
6245,18,100,118
1694,5,112,117
4499,112,5,117
1074,43,74,117
16967,9,108,117
482,75,42,117
8314,34,83,117
6242,87,30,117
1419,92,24,116
2801,83,33,116
28520,6,110,116
540,22,94,116
678,12,104,116
6120,89,27,116
49665,24,92,116
7411,32,84,116
2236,91,25,116
7628,86,30,116
49398,102,14,116
2264,32,84,116
2802,15,101,116
2479,26,89,115
2165,88,27,115
798,86,29,115
2272,107,8,115
3530,27,88,115
4282,4,111,115
3316,84,30,114
6444,29,85,114
11169,83,31,114
5108,28,86,114
950,15,99,114
718,18,96,114
4376,11,103,114
1791,39,75,114
13631,39,75,114
12937,26,87,113
523,20,93,113
7114,101,12,113
1515,31,82,113
5504,85,28,113
1075,34,79,113
845,30,83,113
5255,113,0,113
13163,19,94,113
5859,90,23,113
5506,98,14,112
6402,91,21,112
3051,23,89,112
15566,42,70,112
11984,95,17,112
7575,27,85,112
58520,17,95,112
9367,26,86,112
1273,26,86,112
2606,112,0,112
2359,14,98,112
4545,30,82,112
487,14,98,112
456,83,29,112
5799,81,30,111
5739,8,103,111
48940,8,103,111
49065,11,100,111
2826,32,79,111
8777,95,16,111
7332,5,106,111
1955,91,20,111
1932,29,82,111
6056,88,23,111
3667,88,23,111
7365,17,94,111
5001,10,100,110
4702,88,22,110
1533,45,65,110
7859,18,92,110
11731,24,86,110
658,15,95,110
7922,68,41,109
3104,22,87,109
5155,90,19,109
572,75,34,109
4708,31,78,109
2727,82,27,109
9724,6,103,109
10971,24,85,109
6383,23,86,109
12359,33,75,108
4337,37,71,108
13760,93,15,108
6213,38,70,108
23946,24,84,108
2477,68,39,107
2495,50,57,107
4803,78,29,107
985,43,64,107
2370,93,14,107
777,40,67,107
21151,87,20,107
1631,27,80,107
2006,80,26,106
3562,11,95,106
6532,65,41,106
6760,24,82,106
1224,76,30,106
5682,81,25,106
6797,14,92,106
959,69,37,106
5172,84,22,106
6698,26,80,106
4513,93,13,106
49258,17,89,106
5131,71,34,105
713,67,38,105
1135,26,79,105
6219,28,77,105
5867,26,79,105
9894,17,88,105
5523,40,65,105
3466,81,24,105
2945,89,16,105
6890,71,34,105
3726,13,92,105
73965,9,96,105
17252,85,20,105
10376,19,86,105
2466,80,25,105
13578,28,76,104
9396,86,18,104
467,10,94,104
7412,87,17,104
9987,98,6,104
863,11,93,104
1504,34,70,104
2105,28,76,104
3776,14,90,104
6623,8,96,104
14610,0,104,104
2269,7,97,104
5262,10,94,104
1593,22,82,104
11734,82,21,103
5066,11,92,103
2025,6,97,103
10840,21,82,103
3426,32,71,103
2442,31,72,103
6648,28,75,103
14791,65,38,103
909,77,26,103
2507,2,101,103
706,6,97,103
5816,85,18,103
1231,71,32,103
2873,62,41,103
1362,24,79,103
1995,14,89,103
6238,10,93,103
1192,77,25,102
23249,24,78,102
832,36,66,102
652,9,93,102
1570,18,84,102
9889,90,12,102
681,61,41,102
